Filename,Runtime,Recognized
SE01.wav,0.641," When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow."
SE02.wav,0.324, The rainbow is a division of white light into many beautiful colors.
SE03.wav,0.397, These take the shape of a long round arch with its path high above and its two ends apparently beyond the horizon.
SE04.wav,0.309," There is, according to legend, a boiling pot of gold at one end."
SE05.wav,0.261," People look, but no one ever finds it."
SE06.wav,0.396," When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow."
SE07.wav,0.277, Throughout the centuries people have explained the rainbow in various ways.
SE08.wav,0.273, Some have accepted it as a miracle without physical explanation.
SE09.wav,0.312, To the Hebrews it was a token that there would be no more universal floods.
SE10.wav,0.339, The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.
SE11.wav,0.357," The Norsemen considered the rainbow as a bridge over which the gods passed from birth to their home, in the sky."
SE12.wav,0.254, Others have tried to explain the phenomenon physically.
SE13.wav,0.329, Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.
SE14.wav,0.474," Since then, physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows."
SE15.wav,0.261, Many complicated ideas about the rainbow have been formed.
SE16.wav,0.429," The difference in the rainbow depends considerably upon the size of the drops, and the width of the coloured band increases as the size of the drops increases."
SE17.wav,0.345, The actual primary rainbow observed is said to be the effect of superimposition of a number of bows.
SE18.wav,0.464," If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow."
SE19.wav,0.365," This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue."
