SN,Filename,Runtime,Recognized,LenR,Sentence,LenS,N_RecW,RecRate,Recognized_words,MissRec_words
S1,SK01.wav,5.36," When the sunlight strikes raindrops in the air, the rays of the sun start to vanish.",16,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.",17,10,58.82,"when, the, sunlight, strikes, raindrops, in, the, air, the, the","rays, of, sun, start, to, vanish"
S2,SK02.wav,0.953, Ta rainbow EJ division of white light into many beautiful colors.,11,The rainbow is a division of white light into many beautiful colors.,12,9,75.0,"rainbow, division, of, white, light, into, many, beautiful, colors","ta, ej"
S3,SK03.wav,4.879," T-z take the shape away long round arch, with its path high above, and its twinge apparent wouldn't it picture a",23,"These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.",22,14,63.64,"take, the, shape, long, round, arch, with, its, path, high, above, and, its, a","t, z, away, twinge, apparent, wouldn, t, it, picture"
S4,SK04.wav,1.0," Theor is, according to legend, a building putover could at one end.",12,"There is, according to legend, a boiling pot of gold at one end.",13,8,61.54,"is, according, to, legend, a, at, one, end","theor, building, putover, could"
S5,SK05.wav,9.779, Peepoh roop!,2,"People look, but no one ever finds it.",8,0,0.0,,"peepoh, roop"
S6,SK06.wav,2.031," When a man looks for something beyond his reach, his friends say he is looking for the man who is looking for something beyond his reach.",26,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.",26,25,96.15,"when, a, man, looks, for, something, beyond, his, reach, his, friends, say, he, is, looking, for, the, man, is, looking, for, something, beyond, his, reach",who
S7,SK07.wav,0.974," Throughout the centuries, people have explained torembo in various ways.",10,Throughout the centuries people have explained the rainbow in various ways.,11,9,81.82,"throughout, the, centuries, people, have, explained, in, various, ways",torembo
S8,SK08.wav,0.875, Some have accepted it as an empirical or physical explanation.,10,Some have accepted it as a miracle without physical explanation.,10,7,70.0,"some, have, accepted, it, as, physical, explanation","an, empirical, or"
S9,SK09.wav,0.734, Thank you for watching.,4,To the Hebrews it was a token that there would be no more universal floods.,15,0,0.0,,"thank, you, for, watching"
S10,SK10.wav,1.144, Toe clicks used to imagine that it was a sign from Toe card to portal or heavy rain.,18,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.,19,13,68.42,"used, to, imagine, that, it, was, a, sign, from, to, or, heavy, rain","toe, clicks, toe, card, portal"
S11,SK11.wav,0.751, Thank you for watching.,4,The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky.,21,0,0.0,,"thank, you, for, watching"
S12,SK12.wav,0.822, Others have tried to explain the phenomenon physically.,8,Others have tried to explain the phenomenon physically.,8,8,100.0,"others, have, tried, to, explain, the, phenomenon, physically",
S13,SK13.wav,1.02, Alice's suit at the rainbow was caused by reflection of the sun's rays by terrain.,17,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.,17,13,76.47,"s, the, rainbow, was, caused, by, reflection, of, the, sun, s, rays, by","alice, suit, at, terrain"
S14,SK14.wav,5.373," Since then, peaches have pounded the region at reflection. Theip links to auto",13,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows.",19,5,26.32,"since, then, have, the, reflection","peaches, pounded, region, at, theip, links, to, auto"
S15,SK15.wav,0.914, Many complicated ideas about Dao Renbou have been formed.,9,Many complicated ideas about the rainbow have been formed.,9,7,77.78,"many, complicated, ideas, about, have, been, formed","dao, renbou"
S16,SK16.wav,2.12, The difference in the rainbow depends considerably upon the size of the traps. The size of the traps increases as the size of the traps increases.,26,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases.",28,23,82.14,"the, difference, in, the, rainbow, depends, considerably, upon, the, size, of, the, the, size, of, the, increases, as, the, size, of, the, increases","traps, traps, traps"
S17,SK17.wav,1.123, The actual primary rainbow observed is said to be the effect of the super-inposition of a number of posts.,20,The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows.,19,18,94.74,"the, actual, primary, rainbow, observed, is, said, to, be, the, effect, of, the, super, of, a, number, of","inposition, posts"
S18,SK18.wav,2.316," If the red over the second ball pulls open the green over the first, the result is to keep able with an abnormally wide yellow band, since red and green light when mixed from yellow.",35,"If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow.",36,27,75.0,"if, the, red, the, second, the, green, the, first, the, result, is, to, with, an, abnormally, wide, yellow, band, since, red, and, green, light, when, mixed, yellow","over, ball, pulls, open, over, keep, able, from"
S19,SK19.wav,1.949," This is a very common type of boot. Once you have made red and yellow, you need to clean up the room.",22,"This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue.",21,10,47.62,"this, is, a, very, common, type, of, red, and, yellow","boot, once, you, have, made, you, need, to, clean, up, the, room"
