Subjects,Gender,Conditions,WER,WER_lev,Prof,Acc,Comp,Intel
F01,Female,POST,0.111111111,0.111111111,5.25,5.666666667,5.416666667,5.583333333
F01,Female,PRE,0.333333333,0.444444444,4.25,4.916666667,4.333333333,5.0
F02,Female,POST,0.111111111,0.111111111,5.666666667,5.416666667,5.416666667,5.75
F02,Female,PRE,0.111111111,0.111111111,4.75,4.916666667,4.333333333,5.166666667
F03,Female,POST,0.111111111,0.111111111,6.166666667,6.416666667,5.75,6.75
F03,Female,PRE,0.111111111,0.111111111,6.75,7.0,6.583333333,6.916666667
F04,Female,POST,0.111111111,0.111111111,5.666666667,5.333333333,5.416666667,5.666666667
F04,Female,PRE,0.111111111,0.111111111,5.333333333,4.75,5.25,5.166666667
F05,Female,POST,0.111111111,0.111111111,4.666666667,5.0,4.833333333,5.083333333
F05,Female,PRE,0.222222222,0.555555556,4.75,5.0,4.75,5.083333333
F06,Female,POST,0.666666667,2.333333333,3.916666667,4.166666667,3.916666667,4.166666667
F06,Female,PRE,0.333333333,1.111111111,4.25,4.583333333,4.416666667,4.583333333
F07,Female,POST,0.222222222,0.444444444,5.166666667,5.083333333,4.5,4.833333333
F07,Female,PRE,0.444444444,1.222222222,5.416666667,5.0,4.75,5.0
F08,Female,POST,0.333333333,0.333333333,4.833333333,5.0,4.916666667,5.166666667
F08,Female,PRE,0.111111111,0.111111111,4.833333333,4.833333333,5.083333333,5.25
F09,Female,POST,0.222222222,0.222222222,5.333333333,5.083333333,4.916666667,5.416666667
F09,Female,PRE,0.111111111,0.111111111,5.416666667,5.583333333,5.0,5.833333333
F10,Female,POST,0.444444444,1.0,4.583333333,4.666666667,4.5,5.0
F10,Female,PRE,0.666666667,2.0,4.333333333,4.166666667,3.916666667,4.583333333
F11,Female,POST,0.333333333,0.444444444,4.5,4.916666667,4.583333333,5.166666667
F11,Female,PRE,0.111111111,0.111111111,5.416666667,5.166666667,5.416666667,5.166666667
F12,Female,POST,0.111111111,0.222222222,5.583333333,5.333333333,5.416666667,5.833333333
F12,Female,PRE,0.111111111,0.111111111,5.166666667,5.5,4.75,5.5
F13,Female,POST,0.111111111,0.666666667,4.166666667,4.583333333,4.166666667,4.833333333
F13,Female,PRE,0.333333333,0.555555556,3.833333333,4.25,3.916666667,4.333333333
F14,Female,POST,0.111111111,0.111111111,5.833333333,6.0,5.916666667,6.25
F14,Female,PRE,0.111111111,0.111111111,5.583333333,5.416666667,5.083333333,5.75
F15,Female,POST,0.222222222,0.555555556,5.083333333,5.5,4.916666667,5.25
F15,Female,PRE,0.222222222,0.555555556,4.333333333,5.083333333,4.833333333,5.083333333
M01,Male,POST,0.333333333,0.444444444,4.75,5.166666667,4.916666667,5.0
M01,Male,PRE,0.333333333,0.666666667,4.166666667,5.25,4.25,4.75
M02,Male,POST,0.444444444,0.777777778,5.166666667,5.0,5.083333333,5.25
M02,Male,PRE,0.111111111,0.111111111,5.333333333,5.5,4.916666667,5.25
M03,Male,POST,0.222222222,0.333333333,3.75,4.083333333,4.416666667,4.416666667
M03,Male,PRE,0.222222222,0.222222222,3.5,3.833333333,3.833333333,3.75
M04,Male,POST,0.111111111,0.111111111,4.25,4.666666667,4.583333333,4.833333333
M04,Male,PRE,0.222222222,0.333333333,3.666666667,4.25,4.5,4.416666667
M05,Male,POST,0.111111111,0.111111111,4.25,4.25,4.333333333,4.333333333
M05,Male,PRE,0.222222222,0.555555556,4.25,4.333333333,4.666666667,4.583333333
M06,Male,POST,0.444444444,1.444444444,3.25,3.666666667,3.666666667,3.833333333
M06,Male,PRE,0.444444444,0.666666667,3.083333333,3.583333333,3.75,3.833333333
M07,Male,POST,0.111111111,0.111111111,5.5,5.333333333,5.416666667,5.5
M07,Male,PRE,0.222222222,0.222222222,4.25,4.583333333,4.25,4.666666667
M08,Male,POST,0.111111111,0.111111111,5.583333333,5.416666667,5.5,5.75
M08,Male,PRE,0.222222222,0.777777778,4.916666667,4.916666667,4.583333333,5.166666667
M09,Male,POST,0.222222222,1.444444444,4.166666667,4.5,4.25,4.416666667
M09,Male,PRE,0.555555556,0.888888889,3.0,4.083333333,3.083333333,3.416666667
M10,Male,POST,0.222222222,0.444444444,4.0,3.833333333,3.916666667,3.916666667
M10,Male,PRE,0.333333333,0.333333333,4.416666667,4.75,4.083333333,4.666666667
M11,Male,POST,0.333333333,0.333333333,4.0,5.166666667,3.583333333,4.5
M11,Male,PRE,0.111111111,0.111111111,5.083333333,5.416666667,5.083333333,5.333333333
M12,Male,POST,0.222222222,0.666666667,4.416666667,4.833333333,4.166666667,4.833333333
M12,Male,PRE,0.111111111,0.111111111,5.666666667,5.666666667,5.166666667,5.5
M13,Male,POST,0.333333333,0.888888889,3.833333333,4.166666667,3.666666667,3.916666667
M13,Male,PRE,0.333333333,0.555555556,3.333333333,3.833333333,3.416666667,3.916666667
M14,Male,POST,0.222222222,0.444444444,3.416666667,4.416666667,3.25,3.666666667
M14,Male,PRE,0.111111111,0.111111111,3.916666667,4.5,4.166666667,4.416666667
M15,Male,POST,0.111111111,0.111111111,4.5,4.833333333,4.75,4.916666667
M15,Male,PRE,0.333333333,0.444444444,4.333333333,4.583333333,4.916666667,4.833333333
