Q1,Q2,Major,DL_level
No,1st,English Language & Literature,1
No,3rd,English Language & Literature,3
No,1st,English Language & Literature,3
No,3rd,English Language & Literature,4
No,1st,English Language & Literature,3
No,1st,English Language & Literature,3
No,1st,English Language & Literature,2
No,3rd,English Language & Literature,3
No,1st,English Language & Literature,3
No,1st,English Language & Literature,3
No,2nd,English Language & Literature,3
No,1st,English Language & Literature,5
No,1st,English Language & Literature,3
No,1st,English Language & Literature,3
No,1st,English Language & Literature,4
No,1st,English Language & Literature,1
No,1st,English Language & Literature,2
No,1st,English Language & Literature,3
No,1st,English Language & Literature,3
No,1st,English Language & Literature,4
No,1st,English Language & Literature,2
No,1st,English Language & Literature,3
No,1st,English Language & Literature,3
No,4th,English Language & Literature,4
No,2nd,English Language & Literature,3
No,1st,English Language & Literature,4
No,1st,English Language & Literature,2
No,1st,English Language & Literature,3
No,3rd,English Language & Literature,4
No,1st,English Language & Literature,4
No,1st,English Language & Literature,2
No,1st,English Language & Literature,4
No,1st,English Language & Literature,4
No,3rd,English Language & Literature,3
No,1st,English Language & Literature,3
No,1st,English Language & Literature,3
No,1st,English Language & Literature,5
No,4th,"Other languages (e.g., Japanese, Russian, German, etc.)",3
No,1st,English Language & Literature,4
No,2nd,English Language & Literature,3
No,1st,English Language & Literature,3
No,1st,English Language & Literature,3
No,1st,English Language & Literature,3
No,1st,English Language & Literature,4
No,1st,English Language & Literature,2
NO,1st,English Language & Literature,2
NO,1st,English Language & Literature,3
YES,3rd,English Language & Literature,3
NO,1st,English Education,3
YES,2nd,English Language & Literature,3
YES,2nd,English Language & Literature,2
YES,2nd,English Language & Literature,3
YES,2nd,English Language & Literature,3
YES,3rd,English Language & Literature,3
YES,2nd,English Language & Literature,4
YES,2nd,English Language & Literature,4
YES,2nd,English Language & Literature,3
YES,3rd,English Language & Literature,4
YES,2nd,English Language & Literature,4
YES,4th,English Language & Literature,4
YES,3rd,English Language & Literature,3
YES,4th,English Language & Literature,4
YES,4th,English Language & Literature,4
YES,3rd,Humanities other than language major,4
YES,2nd,English Language & Literature,4
YES,2nd,English Language & Literature,3
YES,2nd,English Language & Literature,3
YES,2nd,English Language & Literature,3
YES,4th,English Language & Literature,4
YES,2nd,English Language & Literature,3
YES,2nd,English Language & Literature,4
YES,2nd,English Language & Literature,3
YES,3rd,English Language & Literature,4
YES,2nd,English Language & Literature,3
YES,2nd,English Language & Literature,2
YES,2nd,English Language & Literature,3
YES,4th,English Language & Literature,5
YES,Graduate,English Education,4
YES,Graduate,English Education,5
NO,Graduate,English Education,1
NO,Graduate,English Education,4
NO,2nd,English Education,4
YES,1st,English Education,4
NO,3rd,English Education,5
NO,Graduate,English Education,4
NO,Graduate,English Education,4
NO,Graduate,English Education,4
NO,Graduate,English Education,5
YES,1st,English Education,5
YES,3rd,English Education,4
NO,4th,"Other languages (e.g., Japanese, Russian, German, etc.)",4
YES,Graduate,English Education,6
NO,Graduate,English Education,4
NO,Graduate,English Education,4
NO,Graduate,English Education,6
YES,Graduate,English Education,4
NO,1st,English Language & Literature,3
YES,4th,English Language & Literature,3
NO,2nd,English Language & Literature,3
YES,1st,English Education,3
NO,Graduate,English Education,6
YES,1st,English Language & Literature,4
NO,Graduate,English Education,4
YES,2nd,English Language & Literature,3
NO,Graduate,English Education,4
NO,Graduate,English Education,5
YES,2nd,English Education,5
YES,2nd,English Education,6
YES,2nd,English Education,2
YES,2nd,English Education,4
YES,2nd,English Education,5
YES,2nd,English Education,3
YES,2nd,English Education,4
YES,4th,English Education,5
YES,2nd,English Education,5
YES,2nd,English Education,5
YES,2nd,English Education,5
YES,2nd,English Education,5
YES,2nd,English Education,5
YES,2nd,English Education,4
YES,2nd,English Education,6
YES,2nd,English Education,5
YES,2nd,English Education,5
YES,2nd,English Education,2
YES,2nd,English Education,4
YES,2nd,English Education,5
YES,2nd,English Education,5
YES,2nd,English Education,5
YES,2nd,English Education,5
YES,2nd,English Education,5
YES,2nd,English Education,5
YES,2nd,English Education,4
YES,2nd,English Education,5
YES,2nd,English Education,5
YES,2nd,English Education,4
YES,2nd,English Education,5
YES,2nd,English Education,3
No,Graduate,English Education,4
No,Graduate,English Education,4
No,Graduate,English Education,5
